FIPS,County,Year,Population,Primary Point
19027,Carroll County,July 01 1995,21525,POINT (-94.8605593 42.0362382)
19085,Harrison County,July 01 1999,15569,POINT (-95.8169209 41.6828528)
19033,Cerro Gordo County,July 01 2014,43206,POINT (-93.2608184 43.081557700000005)
19151,Pocahontas County,July 01 2011,7204,POINT (-94.67874660000001 42.73413510000001)
19153,Polk County,July 01 1991,328531,POINT (-93.5735335 41.6855048)
19051,Davis County,July 01 1997,8428,POINT (-92.4097173 40.7476891)
19053,Decatur County,July 01 1997,8459,POINT (-93.7862815 40.7376827)
19031,Cedar County,July 01 2002,18049,POINT (-91.1324125 41.7723207)
19007,Appanoose County,July 01 2004,13355,POINT (-92.8686104 40.7431635)
19091,Humboldt County,July 01 2017,9569,POINT (-94.2071868 42.7764686)
19055,Delaware County,July 01 2012,17567,POINT (-91.3673502 42.471211)
19169,Story County,July 01 2006,83476,POINT (-93.4650448 42.0362415)
19021,Buena Vista County,July 01 1996,20500,POINT (-95.15114900000002 42.7354936)
19025,Calhoun County,July 01 2016,9811,POINT (-94.6404136 42.385184800000005)
19027,Carroll County,July 01 2019,20165,POINT (-94.8605593 42.0362382)
19197,Wright County,July 01 2005,13377,POINT (-93.7351465 42.7331189)
19157,Poweshiek County,July 01 1994,18884,POINT (-92.53146840000001 41.6864422)
19179,Wapello County,July 01 2017,35022,POINT (-92.4094499 41.03058450000001)
19187,Webster County,July 01 1993,40283,POINT (-94.18178810000002 42.4279662)
19167,Sioux County,July 01 2019,34855,POINT (-96.1778827 43.0826174)
19031,Cedar County,July 01 1997,17860,POINT (-91.1324125 41.7723207)
19165,Shelby County,July 01 2001,12992,POINT (-95.31021130000002 41.6850926)
19107,Keokuk County,July 01 2004,11073,POINT (-92.1786426 41.336465)
19161,Sac County,July 01 1994,12036,POINT (-95.1053946 42.3862604)
19103,Johnson County,July 01 2019,151140,POINT (-91.5880849 41.6715511)
19063,Emmet County,April 01 2010,10302,POINT (-94.6784803 43.37802250000001)
19029,Cass County,July 01 2002,14214,POINT (-94.9278266 41.3314876)
19121,Madison County,July 01 1996,13340,POINT (-94.01556190000001 41.33071420000001)
19023,Butler County,July 01 2003,14782,POINT (-92.7901934 42.7315661)
19045,Clinton County,July 01 2002,49614,POINT (-90.5319724 41.8980358)
19001,Adair County,July 01 1996,8366,POINT (-94.4709413 41.3307464)
19093,Ida County,April 01 1990,8365,POINT (-95.5134962 42.3868747)
19025,Calhoun County,July 01 1998,11377,POINT (-94.6404136 42.385184800000005)
19007,Appanoose County,April 01 1990,13743,POINT (-92.8686104 40.7431635)
19039,Clarke County,April 01 1990,8287,POINT (-93.78515790000002 41.0290323)
19011,Benton County,July 01 2007,26551,POINT (-92.0656912 42.0801864)
19051,Davis County,July 01 2002,8565,POINT (-92.4097173 40.7476891)
19095,Iowa County,July 01 1992,14744,POINT (-92.065524 41.6863229)
19043,Clayton County,July 01 2009,17463,POINT (-91.34143280000002 42.8447493)
19079,Hamilton County,July 01 2019,14773,POINT (-93.7068085 42.3837722)
19053,Decatur County,July 01 2012,8239,POINT (-93.7862815 40.7376827)
19067,Floyd County,July 01 2008,16031,POINT (-92.78900330000002 43.0599208)
19195,Worth County,July 01 2014,7557,POINT (-93.2608476 43.3773984)
19027,Carroll County,April 01 2000,21427,POINT (-94.8605593 42.0362382)
19053,Decatur County,July 01 1999,8538,POINT (-93.7862815 40.7376827)
19169,Story County,July 01 2001,80057,POINT (-93.4650448 42.0362415)
19001,Adair County,July 01 2016,7005,POINT (-94.4709413 41.3307464)
19143,Osceola County,July 01 2008,6448,POINT (-95.6236852 43.3785704)
19067,Floyd County,July 01 1991,17056,POINT (-92.78900330000002 43.0599208)
19055,Delaware County,July 01 1996,18347,POINT (-91.3673502 42.471211)
19079,Hamilton County,July 01 2003,16151,POINT (-93.7068085 42.3837722)
19145,Page County,July 01 2016,15329,POINT (-95.1501747 40.7391444)
19093,Ida County,July 01 1995,8333,POINT (-95.5134962 42.3868747)
19009,Audubon County,July 01 1995,6992,POINT (-94.9058222 41.6845893)
19131,Mitchell County,July 01 1996,10971,POINT (-92.7890315 43.3564124)
19021,Buena Vista County,July 01 1991,19992,POINT (-95.15114900000002 42.7354936)
19119,Lyon County,July 01 2009,11172,POINT (-96.2102924 43.380497)
19175,Union County,July 01 2013,12616,POINT (-94.2423792 41.0277304)
19171,Tama County,July 01 2011,17614,POINT (-92.5325425 42.07981170000001)
19115,Louisa County,July 01 2003,12175,POINT (-91.2596184 41.2185073)
19077,Guthrie County,July 01 1991,10941,POINT (-94.501055 41.6837548)
19079,Hamilton County,July 01 2011,15467,POINT (-93.7068085 42.3837722)
19081,Hancock County,April 01 2000,12100,POINT (-93.7342723 43.0818861)
19133,Monona County,July 01 2008,9019,POINT (-95.9599235 42.0516663)
19039,Clarke County,July 01 1991,8301,POINT (-93.78515790000002 41.0290323)
19135,Monroe County,April 01 2010,7970,POINT (-92.8689877 41.0297826)
19147,Palo Alto County,April 01 2000,10147,POINT (-94.6781371 43.0820643)
19191,Winneshiek County,July 01 2005,20871,POINT (-91.8437074 43.2906746)
19171,Tama County,July 01 1998,17950,POINT (-92.5325425 42.07981170000001)
19029,Cass County,July 01 2011,13765,POINT (-94.9278266 41.3314876)
19179,Wapello County,July 01 1993,36037,POINT (-92.4094499 41.03058450000001)
19129,Mills County,July 01 2017,15060,POINT (-95.62132670000001 41.0334523)
19023,Butler County,April 01 1990,15731,POINT (-92.7901934 42.7315661)
19037,Chickasaw County,July 01 1996,13297,POINT (-92.3176637 43.06004140000001)
19131,Mitchell County,July 01 2001,10735,POINT (-92.7890315 43.3564124)
19053,Decatur County,July 01 2004,8454,POINT (-93.7862815 40.7376827)
19109,Kossuth County,July 01 2012,15413,POINT (-94.2067199 43.20413)
19039,Clarke County,July 01 2013,9245,POINT (-93.78515790000002 41.0290323)
19061,Dubuque County,July 01 2013,95945,POINT (-90.8824564 42.468832)
19135,Monroe County,July 01 2016,7836,POINT (-92.8689877 41.0297826)
19011,Benton County,July 01 1992,22526,POINT (-92.0656912 42.0801864)
19009,Audubon County,July 01 2011,6004,POINT (-94.9058222 41.6845893)
19107,Keokuk County,July 01 1997,11486,POINT (-92.1786426 41.336465)
19173,Taylor County,July 01 2006,6541,POINT (-94.6964148 40.73743240000001)
19043,Clayton County,July 01 2015,17726,POINT (-91.34143280000002 42.8447493)
19095,Iowa County,July 01 2016,16192,POINT (-92.065524 41.6863229)
19037,Chickasaw County,July 01 2018,11952,POINT (-92.3176637 43.06004140000001)
19173,Taylor County,July 01 2016,6213,POINT (-94.6964148 40.73743240000001)
19177,Van Buren County,July 01 1998,7736,POINT (-91.9499871 40.7532294)
19069,Franklin County,July 01 2019,10070,POINT (-93.262473 42.7325458)
19071,Fremont County,July 01 2004,7604,POINT (-95.6046765 40.7455892)
19187,Webster County,July 01 1998,39268,POINT (-94.18178810000002 42.4279662)
19013,Black Hawk County,July 01 2014,133390,POINT (-92.3088197 42.4700957)
19163,Scott County,April 01 2010,165224,POINT (-90.6232428 41.6370978)
19003,Adams County,July 01 2018,3644,POINT (-94.6991849 41.02898390000001)
19041,Clay County,April 01 2010,16667,POINT (-95.1509194 43.0825804)
19163,Scott County,July 01 2006,161473,POINT (-90.6232428 41.6370978)
19105,Jones County,July 01 1997,20522,POINT (-91.1314352 42.1212397)
19173,Taylor County,April 01 2000,6958,POINT (-94.6964148 40.73743240000001)
19079,Hamilton County,July 01 2008,15352,POINT (-93.7068085 42.3837722)
19105,Jones County,July 01 2007,20403,POINT (-91.1314352 42.1212397)
19117,Lucas County,July 01 1993,9132,POINT (-93.3277207 41.0293738)
19127,Marshall County,July 01 2004,39227,POINT (-92.9987706 42.0358499)
19131,Mitchell County,July 01 2014,10700,POINT (-92.7890315 43.3564124)
19001,Adair County,July 01 2017,7051,POINT (-94.4709413 41.3307464)
19031,Cedar County,July 01 2016,18348,POINT (-91.1324125 41.7723207)
19033,Cerro Gordo County,July 01 2004,44654,POINT (-93.2608184 43.081557700000005)
19065,Fayette County,July 01 2017,19687,POINT (-91.8443207 42.8625919)
19173,Taylor County,July 01 2012,6260,POINT (-94.6964148 40.73743240000001)
19067,Floyd County,July 01 2014,15999,POINT (-92.78900330000002 43.0599208)
19139,Muscatine County,July 01 1997,41274,POINT (-91.1127562 41.4839221)
19191,Winneshiek County,April 01 1990,20847,POINT (-91.8437074 43.2906746)
19173,Taylor County,July 01 1993,7024,POINT (-94.6964148 40.73743240000001)
19091,Humboldt County,April 01 2000,10381,POINT (-94.2071868 42.7764686)
19095,Iowa County,July 01 2007,15794,POINT (-92.065524 41.6863229)
19123,Mahaska County,July 01 1993,21613,POINT (-92.6409094 41.3352035)
19089,Howard County,July 01 2004,9679,POINT (-92.3171989 43.3567673)
19075,Grundy County,July 01 1996,12244,POINT (-92.7914177 42.4018651)
19109,Kossuth County,July 01 2001,16780,POINT (-94.2067199 43.20413)
19055,Delaware County,July 01 2016,17288,POINT (-91.3673502 42.471211)
19105,Jones County,July 01 2014,20548,POINT (-91.1314352 42.1212397)
19121,Madison County,July 01 2017,16000,POINT (-94.01556190000001 41.33071420000001)
19083,Hardin County,July 01 1995,18941,POINT (-93.2404025 42.3838803)
19135,Monroe County,July 01 1993,8209,POINT (-92.8689877 41.0297826)
19171,Tama County,July 01 2015,17217,POINT (-92.5325425 42.07981170000001)
19067,Floyd County,July 01 2018,15752,POINT (-92.78900330000002 43.0599208)
19143,Osceola County,July 01 2012,6204,POINT (-95.6236852 43.3785704)
19103,Johnson County,July 01 1991,96595,POINT (-91.5880849 41.6715511)
19077,Guthrie County,July 01 2008,10984,POINT (-94.501055 41.6837548)
19105,Jones County,July 01 1992,19607,POINT (-91.1314352 42.1212397)
19095,Iowa County,July 01 2002,15756,POINT (-92.065524 41.6863229)
19133,Monona County,July 01 2015,8866,POINT (-95.9599235 42.0516663)
19151,Pocahontas County,July 01 2009,7346,POINT (-94.67874660000001 42.73413510000001)
19045,Clinton County,July 01 2016,47248,POINT (-90.5319724 41.8980358)
19135,Monroe County,July 01 2005,7728,POINT (-92.8689877 41.0297826)
19159,Ringgold County,April 01 1990,5420,POINT (-94.2439719 40.7352023)
19001,Adair County,July 01 2013,7387,POINT (-94.4709413 41.3307464)
19125,Marion County,July 01 2005,32310,POINT (-93.0994367 41.3344515)
19031,Cedar County,July 01 1992,17505,POINT (-91.1324125 41.7723207)
19027,Carroll County,April 01 1990,21423,POINT (-94.8605593 42.0362382)
19113,Linn County,July 01 1993,174288,POINT (-91.5989646 42.0789478)
19087,Henry County,July 01 1992,19490,POINT (-91.5445241 40.9879383)
19035,Cherokee County,July 01 1999,13204,POINT (-95.6238055 42.7356226)
19157,Poweshiek County,April 01 2000,18832,POINT (-92.53146840000001 41.6864422)
19117,Lucas County,July 01 2004,9619,POINT (-93.3277207 41.0293738)
19003,Adams County,July 01 1998,4503,POINT (-94.6991849 41.02898390000001)
19167,Sioux County,July 01 2006,32114,POINT (-96.1778827 43.0826174)
19109,Kossuth County,July 01 2011,15400,POINT (-94.2067199 43.20413)
19003,Adams County,July 01 2008,4032,POINT (-94.6991849 41.02898390000001)
19121,Madison County,July 01 2007,15343,POINT (-94.01556190000001 41.33071420000001)
19059,Dickinson County,July 01 2008,16644,POINT (-95.1508301 43.3779848)
19137,Montgomery County,July 01 2011,10632,POINT (-95.1563758 41.03014)
19017,Bremer County,April 01 1990,22813,POINT (-92.31805480000001 42.7745873)
19151,Pocahontas County,July 01 1992,9396,POINT (-94.67874660000001 42.73413510000001)
19175,Union County,July 01 2001,12201,POINT (-94.2423792 41.0277304)
19083,Hardin County,April 01 1990,19094,POINT (-93.2404025 42.3838803)
19057,Des Moines County,July 01 1991,42668,POINT (-91.1814707 40.9231829)
19167,Sioux County,July 01 1996,31347,POINT (-96.1778827 43.0826174)
19039,Clarke County,July 01 2002,9168,POINT (-93.78515790000002 41.0290323)
19149,Plymouth County,July 01 1997,24739,POINT (-96.2140431 42.7378346)
19029,Cass County,July 01 2007,13870,POINT (-94.9278266 41.3314876)
19007,Appanoose County,April 01 2000,13723,POINT (-92.8686104 40.7431635)
19197,Wright County,July 01 2019,12562,POINT (-93.7351465 42.7331189)
19043,Clayton County,July 01 1994,18909,POINT (-91.34143280000002 42.8447493)
19019,Buchanan County,July 01 2002,20761,POINT (-91.8378392 42.4707777)
19041,Clay County,July 01 1997,17601,POINT (-95.1509194 43.0825804)
19069,Franklin County,July 01 2003,10588,POINT (-93.262473 42.7325458)
19063,Emmet County,April 01 2000,11028,POINT (-94.6784803 43.37802250000001)
19133,Monona County,July 01 2019,8615,POINT (-95.9599235 42.0516663)
19065,Fayette County,July 01 2016,19858,POINT (-91.8443207 42.8625919)
19043,Clayton County,July 01 1999,18900,POINT (-91.34143280000002 42.8447493)
19183,Washington County,July 01 1994,20098,POINT (-91.7178676 41.335591)
19027,Carroll County,July 01 2005,20911,POINT (-94.8605593 42.0362382)
19079,Hamilton County,July 01 1998,16371,POINT (-93.7068085 42.3837722)
19003,Adams County,July 01 1991,4845,POINT (-94.6991849 41.02898390000001)
19161,Sac County,July 01 2009,10059,POINT (-95.1053946 42.3862604)
19143,Osceola County,July 01 2011,6316,POINT (-95.6236852 43.3785704)
19137,Montgomery County,April 01 2000,11771,POINT (-95.1563758 41.03014)
19013,Black Hawk County,July 01 2007,126737,POINT (-92.3088197 42.4700957)
19105,Jones County,April 01 2010,20638,POINT (-91.1314352 42.1212397)
19017,Bremer County,July 01 1995,23098,POINT (-92.31805480000001 42.7745873)
19081,Hancock County,July 01 2005,11626,POINT (-93.7342723 43.0818861)
19107,Keokuk County,July 01 2011,10398,POINT (-92.1786426 41.336465)
19039,Clarke County,July 01 2019,9395,POINT (-93.78515790000002 41.0290323)
19077,Guthrie County,July 01 2014,10686,POINT (-94.501055 41.6837548)
19073,Greene County,July 01 1999,10442,POINT (-94.3968356 42.0362394)
19107,Keokuk County,July 01 2015,10171,POINT (-92.1786426 41.336465)
19041,Clay County,July 01 2014,16484,POINT (-95.1509194 43.0825804)
19003,Adams County,July 01 2003,4321,POINT (-94.6991849 41.02898390000001)
19123,Mahaska County,July 01 2008,22120,POINT (-92.6409094 41.3352035)
19071,Fremont County,April 01 2010,7441,POINT (-95.6046765 40.7455892)
19189,Winnebago County,July 01 1993,11850,POINT (-93.7341955 43.37756780000001)
19157,Poweshiek County,April 01 1990,19033,POINT (-92.53146840000001 41.6864422)
19175,Union County,July 01 2019,12241,POINT (-94.2423792 41.0277304)
19009,Audubon County,July 01 2002,6549,POINT (-94.9058222 41.6845893)
19143,Osceola County,July 01 1993,7246,POINT (-95.6236852 43.3785704)
19091,Humboldt County,July 01 2006,9762,POINT (-94.2071868 42.7764686)
19047,Crawford County,July 01 1997,16775,POINT (-95.3819678 42.0372125)
19139,Muscatine County,July 01 2014,43028,POINT (-91.1127562 41.4839221)
19177,Van Buren County,July 01 2014,7390,POINT (-91.9499871 40.7532294)
19193,Woodbury County,July 01 2008,101971,POINT (-96.0447673 42.3897169)
19023,Butler County,July 01 1999,15406,POINT (-92.7901934 42.7315661)
19085,Harrison County,July 01 1997,15400,POINT (-95.8169209 41.6828528)
19171,Tama County,July 01 2017,17029,POINT (-92.5325425 42.07981170000001)
19057,Des Moines County,July 01 1996,42936,POINT (-91.1814707 40.9231829)
19049,Dallas County,July 01 1994,32262,POINT (-94.0397374 41.6848862)
19005,Allamakee County,July 01 2019,13687,POINT (-91.3780923 43.2842838)
19103,Johnson County,July 01 2002,115560,POINT (-91.5880849 41.6715511)
19025,Calhoun County,July 01 2002,10719,POINT (-94.6404136 42.385184800000005)
19183,Washington County,July 01 2007,21152,POINT (-91.7178676 41.335591)
19161,Sac County,July 01 1992,12156,POINT (-95.1053946 42.3862604)
19019,Buchanan County,July 01 2007,20975,POINT (-91.8378392 42.4707777)
19037,Chickasaw County,July 01 1991,13288,POINT (-92.3176637 43.06004140000001)
19137,Montgomery County,July 01 1995,11992,POINT (-95.1563758 41.03014)
19109,Kossuth County,July 01 2016,15104,POINT (-94.2067199 43.20413)
19007,Appanoose County,July 01 1995,13726,POINT (-92.8686104 40.7431635)
19193,Woodbury County,July 01 2016,102686,POINT (-96.0447673 42.3897169)
19193,Woodbury County,April 01 1990,98276,POINT (-96.0447673 42.3897169)
19063,Emmet County,July 01 1995,11501,POINT (-94.6784803 43.37802250000001)
19115,Louisa County,July 01 2014,11250,POINT (-91.2596184 41.2185073)
19005,Allamakee County,July 01 2015,13874,POINT (-91.3780923 43.2842838)
19197,Wright County,July 01 1998,14560,POINT (-93.7351465 42.7331189)
19181,Warren County,July 01 2015,48468,POINT (-93.5613594 41.3343735)
19087,Henry County,July 01 2009,19929,POINT (-91.5445241 40.9879383)
19085,Harrison County,July 01 2002,15497,POINT (-95.8169209 41.6828528)
19179,Wapello County,July 01 2016,35265,POINT (-92.4094499 41.03058450000001)
19155,Pottawattamie County,July 01 2005,88960,POINT (-95.5423935 41.3366123)
19111,Lee County,July 01 2013,35236,POINT (-91.479264 40.6419764)
19109,Kossuth County,July 01 2018,14878,POINT (-94.2067199 43.20413)
19043,Clayton County,July 01 2005,17853,POINT (-91.34143280000002 42.8447493)
19097,Jackson County,July 01 2018,19427,POINT (-90.5742294 42.1717426)
19009,Audubon County,July 01 2007,6132,POINT (-94.9058222 41.6845893)
19033,Cerro Gordo County,July 01 1999,46950,POINT (-93.2608184 43.081557700000005)
19117,Lucas County,July 01 2008,9337,POINT (-93.3277207 41.0293738)
19003,Adams County,July 01 2019,3602,POINT (-94.6991849 41.02898390000001)
19195,Worth County,July 01 2001,7801,POINT (-93.2608476 43.3773984)
19189,Winnebago County,July 01 1998,11876,POINT (-93.7341955 43.37756780000001)
19129,Mills County,July 01 2006,15139,POINT (-95.62132670000001 41.0334523)
19067,Floyd County,July 01 1995,17062,POINT (-92.78900330000002 43.0599208)
19169,Story County,July 01 1997,76937,POINT (-93.4650448 42.0362415)
19145,Page County,July 01 2007,15913,POINT (-95.1501747 40.7391444)
19177,Van Buren County,April 01 2010,7570,POINT (-91.9499871 40.7532294)
19181,Warren County,July 01 2009,45275,POINT (-93.5613594 41.3343735)
19163,Scott County,July 01 1994,155375,POINT (-90.6232428 41.6370978)
19059,Dickinson County,July 01 1993,15245,POINT (-95.1508301 43.3779848)
19045,Clinton County,July 01 2012,48701,POINT (-90.5319724 41.8980358)
19071,Fremont County,July 01 2016,6947,POINT (-95.6046765 40.7455892)
19053,Decatur County,July 01 1992,8185,POINT (-93.7862815 40.7376827)
19083,Hardin County,April 01 2000,18812,POINT (-93.2404025 42.3838803)
19089,Howard County,July 01 1999,9999,POINT (-92.3171989 43.3567673)
19003,Adams County,July 01 2012,3910,POINT (-94.6991849 41.02898390000001)
19115,Louisa County,July 01 2009,11245,POINT (-91.2596184 41.2185073)
19047,Crawford County,July 01 1991,16737,POINT (-95.3819678 42.0372125)
19183,Washington County,July 01 2006,21100,POINT (-91.7178676 41.335591)
19179,Wapello County,July 01 1997,36052,POINT (-92.4094499 41.03058450000001)
19007,Appanoose County,July 01 2012,12707,POINT (-92.8686104 40.7431635)
19049,Dallas County,July 01 2003,46308,POINT (-94.0397374 41.6848862)
19121,Madison County,April 01 2000,14019,POINT (-94.01556190000001 41.33071420000001)
19165,Shelby County,July 01 2006,12305,POINT (-95.31021130000002 41.6850926)
19107,Keokuk County,July 01 2009,10562,POINT (-92.1786426 41.336465)
19103,Johnson County,July 01 1997,105355,POINT (-91.5880849 41.6715511)
19101,Jefferson County,July 01 2013,17629,POINT (-91.9488774 41.0317596)
19071,Fremont County,July 01 2012,7141,POINT (-95.6046765 40.7455892)
19075,Grundy County,July 01 2007,12085,POINT (-92.7914177 42.4018651)
19137,Montgomery County,July 01 2013,10404,POINT (-95.1563758 41.03014)
19069,Franklin County,July 01 1992,11314,POINT (-93.262473 42.7325458)
19119,Lyon County,July 01 2005,11449,POINT (-96.2102924 43.380497)
19067,Floyd County,July 01 2012,16087,POINT (-92.78900330000002 43.0599208)
19141,O'Brien County,July 01 1997,15456,POINT (-95.6248784 43.0837527)
19145,Page County,July 01 2015,15462,POINT (-95.1501747 40.7391444)
19135,Monroe County,July 01 2013,7979,POINT (-92.8689877 41.0297826)
19073,Greene County,July 01 2013,9159,POINT (-94.3968356 42.0362394)
19055,Delaware County,July 01 2001,18212,POINT (-91.3673502 42.471211)
19113,Linn County,July 01 1998,185450,POINT (-91.5989646 42.0789478)
19035,Cherokee County,July 01 2015,11483,POINT (-95.6238055 42.7356226)
19129,Mills County,July 01 1991,13168,POINT (-95.62132670000001 41.0334523)
19137,Montgomery County,July 01 2017,10112,POINT (-95.1563758 41.03014)
19163,Scott County,July 01 2004,159323,POINT (-90.6232428 41.6370978)
19139,Muscatine County,July 01 2002,41803,POINT (-91.1127562 41.4839221)
19101,Jefferson County,July 01 2012,17278,POINT (-91.9488774 41.0317596)
19067,Floyd County,July 01 2011,16095,POINT (-92.78900330000002 43.0599208)
19129,Mills County,July 01 2001,14482,POINT (-95.62132670000001 41.0334523)
19071,Fremont County,April 01 2000,8010,POINT (-95.6046765 40.7455892)
19045,Clinton County,July 01 2006,49264,POINT (-90.5319724 41.8980358)
19175,Union County,April 01 1990,12750,POINT (-94.2423792 41.0277304)
19191,Winneshiek County,April 01 2000,21310,POINT (-91.8437074 43.2906746)
19085,Harrison County,July 01 1992,14712,POINT (-95.8169209 41.6828528)
19033,Cerro Gordo County,July 01 1994,46904,POINT (-93.2608184 43.081557700000005)
19157,Poweshiek County,July 01 2003,18806,POINT (-92.53146840000001 41.6864422)
19097,Jackson County,July 01 2004,20078,POINT (-90.5742294 42.1717426)
19193,Woodbury County,July 01 2017,102132,POINT (-96.0447673 42.3897169)
19101,Jefferson County,July 01 2002,15806,POINT (-91.9488774 41.0317596)
19159,Ringgold County,July 01 2016,4985,POINT (-94.2439719 40.7352023)
19029,Cass County,July 01 1995,15168,POINT (-94.9278266 41.3314876)
19023,Butler County,July 01 1994,15578,POINT (-92.7901934 42.7315661)
19111,Lee County,July 01 1996,39107,POINT (-91.479264 40.6419764)
19141,O'Brien County,July 01 1992,15530,POINT (-95.6248784 43.0837527)
19137,Montgomery County,April 01 1990,12076,POINT (-95.1563758 41.03014)
19135,Monroe County,July 01 2012,8073,POINT (-92.8689877 41.0297826)
19135,Monroe County,April 01 2000,8016,POINT (-92.8689877 41.0297826)
19193,Woodbury County,July 01 2006,101427,POINT (-96.0447673 42.3897169)
19051,Davis County,July 01 2009,8562,POINT (-92.4097173 40.7476891)
19159,Ringgold County,July 01 2002,5294,POINT (-94.2439719 40.7352023)
19075,Grundy County,July 01 1992,11957,POINT (-92.7914177 42.4018651)
19047,Crawford County,July 01 2013,17360,POINT (-95.3819678 42.0372125)
19057,Des Moines County,July 01 2008,40803,POINT (-91.1814707 40.9231829)
19069,Franklin County,July 01 2007,10623,POINT (-93.262473 42.7325458)
19109,Kossuth County,July 01 1999,17321,POINT (-94.2067199 43.20413)
19047,Crawford County,July 01 2015,17082,POINT (-95.3819678 42.0372125)
19123,Mahaska County,July 01 2004,22060,POINT (-92.6409094 41.3352035)
19155,Pottawattamie County,July 01 1991,82697,POINT (-95.5423935 41.3366123)
19007,Appanoose County,April 01 2010,12887,POINT (-92.8686104 40.7431635)
19087,Henry County,July 01 2004,20073,POINT (-91.5445241 40.9879383)
19157,Poweshiek County,July 01 2011,18896,POINT (-92.53146840000001 41.6864422)
19137,Montgomery County,July 01 2018,9961,POINT (-95.1563758 41.03014)
19115,Louisa County,July 01 1993,11479,POINT (-91.2596184 41.2185073)
19073,Greene County,July 01 2011,9332,POINT (-94.3968356 42.0362394)
19177,Van Buren County,July 01 1992,7718,POINT (-91.9499871 40.7532294)
19081,Hancock County,July 01 2015,11028,POINT (-93.7342723 43.0818861)
19043,Clayton County,July 01 2011,18017,POINT (-91.34143280000002 42.8447493)
19127,Marshall County,April 01 2000,39311,POINT (-92.9987706 42.0358499)
19185,Wayne County,July 01 2001,6640,POINT (-93.3273639 40.73947020000001)
19177,Van Buren County,July 01 2002,7736,POINT (-91.9499871 40.7532294)
19125,Marion County,July 01 2009,32682,POINT (-93.0994367 41.3344515)
19151,Pocahontas County,July 01 2019,6619,POINT (-94.67874660000001 42.73413510000001)
19031,Cedar County,July 01 2007,17950,POINT (-91.1324125 41.7723207)
19003,Adams County,July 01 2014,3877,POINT (-94.6991849 41.02898390000001)
19065,Fayette County,April 01 2000,22008,POINT (-91.8443207 42.8625919)
19095,Iowa County,July 01 1998,15423,POINT (-92.065524 41.6863229)
19059,Dickinson County,July 01 2018,17121,POINT (-95.1508301 43.3779848)
19153,Polk County,July 01 2004,393899,POINT (-93.5735335 41.6855048)
19179,Wapello County,July 01 2004,35651,POINT (-92.4094499 41.03058450000001)
19101,Jefferson County,July 01 2007,15532,POINT (-91.9488774 41.0317596)
19195,Worth County,July 01 2003,7719,POINT (-93.2608476 43.3773984)
19025,Calhoun County,July 01 2017,9729,POINT (-94.6404136 42.385184800000005)
19181,Warren County,July 01 1994,37769,POINT (-93.5613594 41.3343735)
19015,Boone County,July 01 2006,26246,POINT (-93.931671 42.0365493)
19061,Dubuque County,July 01 2005,90926,POINT (-90.8824564 42.468832)
19049,Dallas County,July 01 2019,93453,POINT (-94.0397374 41.6848862)
19139,Muscatine County,July 01 2018,42874,POINT (-91.1127562 41.4839221)
19133,Monona County,July 01 1998,10121,POINT (-95.9599235 42.0516663)
19165,Shelby County,July 01 2013,11899,POINT (-95.31021130000002 41.6850926)
19137,Montgomery County,July 01 2005,11177,POINT (-95.1563758 41.03014)
19113,Linn County,July 01 1991,169295,POINT (-91.5989646 42.0789478)
19007,Appanoose County,July 01 2016,12505,POINT (-92.8686104 40.7431635)
19107,Keokuk County,July 01 1994,11600,POINT (-92.1786426 41.336465)
19111,Lee County,July 01 2001,37386,POINT (-91.479264 40.6419764)
19073,Greene County,July 01 2017,8954,POINT (-94.3968356 42.0362394)
19197,Wright County,April 01 2000,14334,POINT (-93.7351465 42.7331189)
19123,Mahaska County,July 01 1997,22031,POINT (-92.6409094 41.3352035)
19185,Wayne County,July 01 2006,6391,POINT (-93.3273639 40.73947020000001)
19073,Greene County,July 01 1995,10255,POINT (-94.3968356 42.0362394)
19099,Jasper County,April 01 1990,34795,POINT (-93.053765 41.6860394)
19041,Clay County,July 01 1993,17766,POINT (-95.1509194 43.0825804)
19039,Clarke County,July 01 2017,9396,POINT (-93.78515790000002 41.0290323)
19149,Plymouth County,July 01 2008,24262,POINT (-96.2140431 42.7378346)
19001,Adair County,July 01 1999,8305,POINT (-94.4709413 41.3307464)
19159,Ringgold County,July 01 1997,5418,POINT (-94.2439719 40.7352023)
19043,Clayton County,July 01 2017,17648,POINT (-91.34143280000002 42.8447493)
19143,Osceola County,July 01 1995,7217,POINT (-95.6236852 43.3785704)
19109,Kossuth County,July 01 2006,15664,POINT (-94.2067199 43.20413)
19019,Buchanan County,July 01 1998,21084,POINT (-91.8378392 42.4707777)
19069,Franklin County,July 01 2015,10319,POINT (-93.262473 42.7325458)
19167,Sioux County,July 01 2002,31795,POINT (-96.1778827 43.0826174)
19155,Pottawattamie County,April 01 1990,82628,POINT (-95.5423935 41.3366123)
19101,Jefferson County,July 01 1996,16468,POINT (-91.9488774 41.0317596)
19039,Clarke County,July 01 1998,8701,POINT (-93.78515790000002 41.0290323)
19187,Webster County,July 01 2008,38372,POINT (-94.18178810000002 42.4279662)
19107,Keokuk County,July 01 2017,10141,POINT (-92.1786426 41.336465)
19115,Louisa County,July 01 2016,11221,POINT (-91.2596184 41.2185073)
19005,Allamakee County,July 01 2003,14371,POINT (-91.3780923 43.2842838)
19113,Linn County,July 01 2008,207839,POINT (-91.5989646 42.0789478)
